# a combined early aftershock catalog following the Ms6.8 Dingri mainshock
# see the referece Yao et al., (2025), JES for more details
# yyy  mm dd hh mm ss.ss   lat     lon   D(km)   Ml   seqID
# mainshock listed in the CENC catalog           Ms
  2025 01 07 20 28 56.76 28.9030 87.5510  2.00  2.20   233
  2025 01 07 20 30 41.68 28.4780 87.4140 18.00  2.60   234
  2025 01 07 20 33 17.76 28.7340 87.5550 25.00  2.00   235
  2025 01 07 20 35 51.62 28.6660 87.5060  5.00  2.60   236
  2025 01 07 20 35 52.76 28.7460 87.3630 18.00  2.60   237
  2025 01 07 20 37 25.64 29.0060 87.4390 24.00  1.90   238
  2025 01 07 20 39 14.68 28.5010 87.4530 25.00  2.50   239
  2025 01 07 20 42 25.87 28.4840 87.4000 16.00  2.40   240
  2025 01 07 20 52 31.58 28.4270 87.3890 25.00  2.50   241
  2025 01 07 20 54 33.94 28.7920 87.4770 26.00  2.50   242
  2025 01 07 20 56 10.26 28.6680 87.5340 25.00  2.30   243
  2025 01 07 20 56 28.00 28.5000 87.5030 25.00  2.30   244
  2025 01 07 20 57 52.19 28.7970 87.3370 25.00  2.70   245
  2025 01 07 20 57 53.27 28.7850 87.3880  5.00  2.70   246
  2025 01 07 21 00 20.55 28.9990 87.4880 11.00  2.30   247
  2025 01 07 21 01 58.10 28.9580 87.4830  5.00  2.40   248
  2025 01 07 21 07 38.06 28.8200 87.5600 13.00  3.50   249
  2025 01 07 21 11 36.86 28.9240 87.4750  5.00  2.10   250
  2025 01 07 21 13 28.95 28.7070 87.4620 19.00  2.20   251
  2025 01 07 21 20 56.34 28.9560 87.2210  2.00  1.70   252
  2025 01 07 21 21 20.43 28.9230 87.3940 30.00  2.50   253
  2025 01 07 21 25 20.98 28.8480 87.4990 25.00  1.90   254
  2025 01 07 21 27 35.74 28.4850 87.4240 10.00  2.40   255
  2025 01 07 21 29 34.56 28.6990 87.3900 11.00  3.90   256
  2025 01 07 21 31 52.45 28.6690 87.4240 27.00  3.20   257
  2025 01 07 21 35 46.09 28.5330 87.4270 10.00  2.50   258
  2025 01 07 21 38 18.23 28.6770 87.3080 10.00  2.40   259
  2025 01 07 21 41 51.48 28.9360 87.4920 10.00  2.50   260
  2025 01 07 21 42 24.30 28.3750 87.4040 44.00  2.60   261
  2025 01 07 21 43 47.22 28.9420 87.4370 25.00  2.40   262
  2025 01 07 21 48 28.32 28.9450 87.4640 10.00  2.40   263
  2025 01 07 21 49 16.81 28.2700 87.5760 32.00  2.80   264
  2025 01 07 21 51  0.76 28.8220 87.5620 18.00  2.40   265
  2025 01 07 21 51 52.86 28.7690 87.3930 16.00  2.70   266
  2025 01 07 21 55 10.95 28.8350 87.3960 30.00  1.90   267
  2025 01 07 21 56 54.01 28.7510 87.4880 25.00  2.10   268
  2025 01 07 21 57 50.56 28.4030 87.4860 25.00  2.30   269
  2025 01 07 22 00 56.21 28.8790 87.5470 10.00  1.80   270
  2025 01 07 22 04  9.57 28.6880 87.4260 10.00  3.70   271
  2025 01 07 22 12 53.11 28.4870 87.4820 10.00  2.40   272
  2025 01 07 22 13 37.49 28.5160 87.4690 10.00  2.60   273
  2025 01 07 22 15 16.05 28.4800 87.4780 10.00  2.30   274
  2025 01 07 22 16 48.58 28.4390 87.6700 10.00  2.80   275
  2025 01 07 22 19 15.32 28.5850 87.4720 10.00  3.20   276
  2025 01 07 22 26 42.21 28.4640 87.4940 10.00  2.80   277
  2025 01 07 22 30 52.16 28.9270 87.4070 10.00  3.00   278
  2025 01 07 22 38 46.84 28.8490 87.5290 10.00  2.20   279
  2025 01 07 22 43 14.96 28.9940 87.4500 10.00  3.20   280
  2025 01 07 22 45 30.15 28.4830 87.4930 10.00  2.90   281
  2025 01 07 22 46 52.89 28.6550 87.4660 10.00  2.40   282
  2025 01 07 22 50 59.89 28.8860 87.5000 10.00  2.50   283
  2025 01 07 22 53  6.95 28.7620 87.2120 10.00  2.00   284
  2025 01 07 22 53 11.91 29.0260 87.4970 10.00  1.90   285
  2025 01 07 22 55  7.90 28.9290 87.5110 10.00  2.40   286
  2025 01 07 22 57 23.32 29.0290 87.4490 10.00  2.00   287
  2025 01 07 23 01 38.15 28.3640 87.3990 63.00  2.20   288
  2025 01 07 23 02 17.19 28.7570 87.6450 30.00  2.20   289
  2025 01 07 23 06 31.41 28.8840 87.4710 15.00  3.70   290
  2025 01 07 23 12 26.76 28.7750 87.5430 24.00  2.20   291
  2025 01 07 23 13 22.21 28.7810 87.3110 26.00  2.30   292
  2025 01 07 23 14 22.68 28.8940 87.5290 10.00  2.50   293
  2025 01 07 23 15 31.40 28.8760 87.4420 20.00  2.30   294
  2025 01 07 23 17 55.37 28.5510 87.3860 33.00  2.60   295
  2025 01 07 23 21 13.34 28.8870 87.4880 17.00  2.90   296
  2025 01 07 23 22 33.13 28.4570 87.4900 23.00  3.70   297
  2025 01 07 23 28 57.60 28.9740 87.5070 10.00  1.90   298
  2025 01 07 23 32 23.69 28.8700 87.4800 27.00  2.50   299
  2025 01 07 23 34 56.78 28.9130 87.4500 24.00  2.60   300
  2025 01 07 23 37 22.33 28.3920 87.4240 21.00  3.60   301
  2025 01 07 23 41 41.87 28.6810 87.4640 26.00  2.50   302
  2025 01 07 23 45  4.27 28.4660 87.4840 31.00  1.90   303
  2025 01 07 23 46 13.72 28.9010 87.4990 20.00  2.80   304
  2025 01 07 23 52  8.44 28.8860 87.5020 18.00  2.40   305
  2025 01 07 23 54 19.65 28.5520 87.3100 10.00  2.30   306
  2025 01 07 23 54 43.11 28.4130 87.4080 49.00  2.60   307
  2025 01 07 23 58  8.39 28.4630 87.4740 28.00  2.00   308
  2025 01 07 23 59 24.28 28.6570 87.5290 25.00  2.80   309
  2025 01 08 00 01  0.68 28.9390 87.5300 10.00  2.00   310
  2025 01 08 00 02  4.43 28.8650 87.5140 10.00  2.40   311
  2025 01 08 00 03 19.95 28.9950 87.5280 10.00  2.00   312
  2025 01 08 00 04 36.68 28.6340 87.6030 10.00  2.80   313
  2025 01 08 00 06 31.67 28.4940 87.4960 10.00  2.20   314
  2025 01 08 00 07 57.70 28.9230 87.5550 10.00  1.60   315
  2025 01 08 00 08 41.80 28.9810 87.4570 10.00  1.60   316
  2025 01 08 00 10 58.11 28.5470 87.4390 10.00  2.20   317
  2025 01 08 00 12 36.65 28.4680 87.5760 10.00  2.30   318
  2025 01 08 00 12 51.46 28.5790 87.3710 10.00  2.10   319
  2025 01 08 00 15  7.47 28.7220 87.7480 10.00  2.70   320
  2025 01 08 00 20  0.64 28.9950 87.4820 10.00  2.70   321
  2025 01 08 00 21 49.24 28.4350 87.4200 10.00  2.50   322
  2025 01 08 00 22 49.10 28.7630 87.4710 10.00  2.20   323
  2025 01 08 00 26 35.65 28.7720 87.4590 10.00  2.30   324
  2025 01 08 00 27  4.46 28.4710 87.4590 10.00  3.00   325
  2025 01 08 00 30 55.47 28.5260 87.4500 10.00  2.80   326
  2025 01 08 00 31 26.16 28.7690 87.6980 10.00  2.70   327
  2025 01 08 00 33 26.11 28.5480 87.5570 10.00  2.10   328
  2025 01 08 00 35 24.89 28.5720 87.5480 10.00  2.00   329
  2025 01 08 00 39 21.45 28.9540 87.4750 10.00  1.70   330
  2025 01 08 00 43  6.62 28.5290 87.5520 10.00  2.10   331
  2025 01 08 00 43 56.80 28.4070 87.6560 10.00  2.80   332
  2025 01 08 00 47  3.65 28.9110 87.5310 10.00  2.10   333
  2025 01 08 00 53 10.76 28.9070 87.4680 10.00  1.90   334
  2025 01 08 00 56 25.65 28.9320 87.4830 10.00  2.10   335
  2025 01 08 00 57 15.21 28.7180 87.5460 10.00  2.50   336
  2025 01 08 01 04 20.69 28.9250 87.4800 10.00  2.50   337
  2025 01 08 01 07  4.95 28.8040 87.4750 10.00  2.10   338
  2025 01 08 01 08 59.75 28.7990 87.2810 10.00  2.10   339
  2025 01 08 01 13 21.65 28.9140 87.4130 10.00  2.40   340
  2025 01 08 01 15 11.88 28.5060 87.4380 10.00  2.40   341
  2025 01 08 01 17 40.54 28.7630 87.5130 10.00  2.20   342
  2025 01 08 01 19 42.99 28.8960 87.4940 10.00  2.30   343
  2025 01 08 01 24 16.34 28.9060 87.4770 10.00  2.30   344
  2025 01 08 01 36  0.07 28.8920 87.4880 10.00  3.60   345
  2025 01 08 01 37 55.74 28.8900 87.4860 10.00  3.00   346
  2025 01 08 01 38 37.25 28.8350 87.5400 10.00  3.10   347
  2025 01 08 01 40 59.22 28.8890 87.4630 10.00  2.20   348
  2025 01 08 01 50 39.66 28.7840 87.4920 10.00  2.20   349
  2025 01 08 01 51 41.31 28.4530 87.4840 10.00  3.50   350
  2025 01 08 01 56 48.89 28.4770 87.4680 10.00  2.50   351
  2025 01 08 01 59  8.29 28.5030 87.4980 10.00  2.30   352
  2025 01 08 02 04 51.88 28.6620 87.5280 15.00  2.60   353
  2025 01 08 02 05 38.21 28.7710 87.4540 15.00  2.20   354
  2025 01 08 02 10 14.51 28.4720 87.4870 15.00  2.60   355
  2025 01 08 02 12 56.59 28.5200 87.4760 15.00  3.10   356
  2025 01 08 02 16 47.84 28.9750 87.4780 12.00  2.90   357
  2025 01 08 02 20 17.71 28.9120 87.5030 22.00  2.80   358
  2025 01 08 02 22  5.57 28.9640 87.5280 15.00  2.20   359
  2025 01 08 02 25 36.06 28.7040 87.4710 15.00  2.20   360
  2025 01 08 02 29 18.50 28.4760 87.4680 15.00  2.40   361
  2025 01 08 02 31 27.81 28.9230 87.5410 12.00  2.20   362
  2025 01 08 02 33 39.38 28.9080 87.5100 17.00  2.70   363
  2025 01 08 02 36 27.19 28.6340 87.4300 35.00  1.70   364
  2025 01 08 02 37 16.95 28.9350 87.4540 18.00  1.70   365
  2025 01 08 02 39  6.91 28.5350 87.4600  5.00  2.10   366
  2025 01 08 02 39 54.99 28.9220 87.5130 17.00  2.30   367
  2025 01 08 02 42 25.96 28.7810 87.4860  5.00  1.90   368
  2025 01 08 02 43 54.54 28.7920 87.4610  5.00  2.20   369
  2025 01 08 02 48 53.85 28.9200 87.4920  5.00  2.00   370
  2025 01 08 02 56  2.05 28.9110 87.4750 17.00  1.90   371
  2025 01 08 03 07 23.19 28.8160 87.5320  8.00  2.30   372
  2025 01 08 03 08  8.81 28.9930 87.5090 12.00  2.30   373
  2025 01 08 03 10  9.41 28.7960 87.4680  3.00  2.40   374
  2025 01 08 03 11  5.31 28.7070 87.5290  9.00  2.30   375
  2025 01 08 03 11 46.94 28.8830 87.4300  5.00  2.00   376
  2025 01 08 03 14 42.65 28.5170 87.4010  5.00  1.80   377
  2025 01 08 03 16 18.38 28.8350 87.4800  5.00  1.80   378
  2025 01 08 03 17  3.69 28.8950 87.4670 19.00  2.10   379
