# t_decimal_year  t_day  magnitude
5.469159378890583317e-04 1.997569444444443898e-01 2.799999999999999822e+00
5.473278914896469822e-04 1.999074074074073948e-01 3.500000000000000000e+00
5.551233211623225706e-04 2.027546296296296180e-01 3.899999999999999911e+00
5.628236846194778096e-04 2.055671296296296413e-01 2.899999999999999911e+00
5.661826909011995678e-04 2.067939814814813981e-01 3.100000000000000089e+00
5.662460683782133148e-04 2.068171296296295869e-01 3.200000000000000178e+00
5.730274584186709035e-04 2.092939814814814004e-01 2.799999999999999822e+00
5.754358025451887342e-04 2.101736111111111027e-01 2.799999999999999822e+00
5.777807691946928179e-04 2.110300925925925886e-01 3.299999999999999822e+00
5.838650069880005995e-04 2.132523148148148251e-01 2.899999999999999911e+00
5.871923245312158637e-04 2.144675925925926263e-01 3.000000000000000000e+00
5.901393772123492967e-04 2.155439814814814892e-01 3.100000000000000089e+00
6.074097396985613526e-04 2.218518518518518001e-01 3.100000000000000089e+00
6.090892428394222317e-04 2.224652777777776924e-01 3.399999999999999911e+00
6.282292408975365160e-04 2.294560185185184897e-01 2.700000000000000178e+00
6.384963921737434652e-04 2.332060185185184931e-01 2.799999999999999822e+00
6.565906618611327137e-04 2.398148148148147585e-01 2.899999999999999911e+00
6.566223505996394245e-04 2.398263888888887974e-01 2.899999999999999911e+00
6.676817203385167470e-04 2.438657407407407163e-01 2.600000000000000089e+00
6.830507585143201889e-04 2.494791666666665853e-01 3.799999999999999822e+00
6.900222809858188016e-04 2.520254629629629095e-01 2.700000000000000178e+00
6.930010224054590539e-04 2.531134259259258945e-01 2.700000000000000178e+00
7.266227739611860574e-04 2.653935185185185008e-01 3.100000000000000089e+00
7.404390639501558973e-04 2.704398148148148273e-01 2.600000000000000089e+00
7.439882026629187880e-04 2.717361111111111227e-01 3.399999999999999911e+00
7.510864800884445693e-04 2.743287037037037135e-01 3.200000000000000178e+00
7.673744916809456616e-04 2.802777777777777923e-01 3.100000000000000089e+00
7.759621398162915148e-04 2.834143518518518756e-01 2.899999999999999911e+00
7.773881330490979482e-04 2.839351851851851793e-01 4.400000000000000355e+00
7.858173374919099220e-04 2.870138888888889017e-01 3.000000000000000000e+00
7.892397212506454271e-04 2.882638888888888751e-01 2.600000000000000089e+00
7.918698865467106674e-04 2.892245370370369884e-01 2.500000000000000000e+00
7.981759455095662923e-04 2.915277777777777746e-01 2.500000000000000000e+00
8.018518391763564601e-04 2.928703703703703920e-01 2.600000000000000089e+00
8.147491557486285412e-04 2.975810185185184809e-01 2.799999999999999822e+00
8.257134592719852974e-04 3.015856481481480889e-01 2.899999999999999911e+00
8.542650126666223023e-04 3.120138888888888129e-01 2.500000000000000000e+00
8.617435549542299148e-04 3.147453703703703143e-01 2.899999999999999911e+00
8.831968309233413552e-04 3.225810185185185031e-01 2.799999999999999822e+00
8.905169295184146546e-04 3.252546296296295880e-01 2.899999999999999911e+00
9.015129217802782301e-04 3.292708333333332904e-01 2.500000000000000000e+00
9.181495094963543343e-04 3.353472222222221855e-01 2.500000000000000000e+00
9.226809991028284055e-04 3.370023148148147962e-01 2.799999999999999822e+00
9.435005003018035689e-04 3.446064814814814858e-01 3.299999999999999822e+00
9.495847380951113505e-04 3.468287037037037224e-01 3.000000000000000000e+00
9.551302673338034213e-04 3.488541666666666874e-01 2.700000000000000178e+00
9.612145051271108777e-04 3.510763888888888129e-01 3.000000000000000000e+00
9.724006298200154772e-04 3.551620370370370261e-01 2.500000000000000000e+00
9.907800981539662075e-04 3.618750000000000022e-01 2.600000000000000089e+00
9.930933760649634720e-04 3.627199074074074492e-01 2.600000000000000089e+00
9.963890048696718085e-04 3.639236111111111005e-01 2.799999999999999822e+00
9.988290377346963501e-04 3.648148148148148140e-01 3.299999999999999822e+00
1.001490891769268301e-03 3.657870370370369661e-01 3.100000000000000089e+00
1.004564699404429011e-03 3.669097222222221788e-01 2.700000000000000178e+00
1.013532612401856804e-03 3.701851851851851727e-01 2.600000000000000089e+00
1.019806982626205285e-03 3.724768518518518090e-01 2.899999999999999911e+00
1.033940160000243426e-03 3.776388888888889128e-01 2.700000000000000178e+00
1.040024397793550990e-03 3.798611111111110383e-01 3.399999999999999911e+00
1.042654563089616447e-03 3.808217592592592626e-01 2.500000000000000000e+00
1.045189662170161555e-03 3.817476851851852593e-01 2.700000000000000178e+00
1.050893635101387289e-03 3.838310185185184742e-01 3.299999999999999822e+00
1.059512971975239961e-03 3.869791666666665964e-01 2.899999999999999911e+00
1.069082971004297212e-03 3.904745370370370505e-01 2.600000000000000089e+00
1.081346512806433124e-03 3.949537037037036402e-01 2.600000000000000089e+00
1.084230188010552919e-03 3.960069444444443976e-01 2.700000000000000178e+00
1.085402671335304907e-03 3.964351851851851127e-01 2.600000000000000089e+00
1.087811015461822737e-03 3.973148148148147873e-01 2.500000000000000000e+00
1.087811015461822737e-03 3.973148148148147873e-01 2.500000000000000000e+00
1.094022008209157796e-03 3.995833333333333459e-01 3.399999999999999911e+00
1.101342106804230987e-03 4.022569444444443199e-01 2.700000000000000178e+00
1.110943794571794948e-03 4.057638888888888129e-01 2.500000000000000000e+00
1.119404687753113850e-03 4.088541666666666852e-01 3.100000000000000089e+00
1.121052502155467801e-03 4.094560185185184831e-01 2.799999999999999822e+00
1.123365780066465066e-03 4.103009259259258745e-01 2.700000000000000178e+00
1.136579984023805556e-03 4.151273148148147962e-01 2.799999999999999822e+00
1.139938990305527748e-03 4.163541666666667473e-01 3.299999999999999822e+00
1.155181273527304021e-03 4.219212962962963220e-01 2.500000000000000000e+00
1.172641768444556993e-03 4.282986111111111160e-01 3.299999999999999822e+00
1.177109880574017100e-03 4.299305555555554270e-01 2.500000000000000000e+00
1.178314052637276016e-03 4.303703703703702921e-01 2.600000000000000089e+00
1.182370211166148231e-03 4.318518518518519311e-01 2.600000000000000089e+00
1.189341733637646519e-03 4.343981481481481444e-01 2.500000000000000000e+00
1.189975508407782687e-03 4.346296296296295880e-01 2.700000000000000178e+00
1.191306435425068880e-03 4.351157407407407196e-01 2.700000000000000178e+00
1.196218189893624674e-03 4.369097222222222410e-01 2.600000000000000089e+00
1.215326499213232030e-03 4.438888888888888884e-01 2.700000000000000178e+00
1.225371829319891028e-03 4.475578703703703143e-01 3.100000000000000089e+00
1.235195338257002616e-03 4.511458333333333015e-01 2.799999999999999822e+00
1.256838746657154863e-03 4.590509259259258901e-01 2.500000000000000000e+00
1.259880865553808862e-03 4.601620370370370638e-01 2.799999999999999822e+00
1.268722023597209161e-03 4.633912037037036802e-01 2.700000000000000178e+00
1.270401526738070041e-03 4.640046296296295725e-01 3.299999999999999822e+00
1.272334539786985691e-03 4.647106481481481088e-01 3.200000000000000178e+00
1.276042122192282786e-03 4.660648148148148762e-01 2.500000000000000000e+00
1.287164869408173422e-03 4.701273148148147896e-01 3.500000000000000000e+00
1.290840763074963590e-03 4.714699074074074070e-01 2.799999999999999822e+00
1.293724438279083384e-03 4.725231481481481088e-01 3.200000000000000178e+00
1.298160861670036997e-03 4.741435185185184920e-01 2.700000000000000178e+00
1.303199371092620068e-03 4.759837962962962798e-01 2.600000000000000089e+00
1.313022880029731439e-03 4.795717592592592116e-01 2.600000000000000089e+00
1.313054568768238367e-03 4.795833333333333059e-01 2.600000000000000089e+00
1.319455693946614341e-03 4.819212962962963198e-01 2.500000000000000000e+00
