# t_day  lambda(t)  mu(t)=mu_ref*q_mu  q_mu(t)  q_K0(t)  K0(t)=K0_ref*q_K0
2.126234774006059425e+00 1.076046133697064420e+02 8.146696096655361430e+01 8.146696096655361544e+03 1.183299342542455390e+00 2.366598685084910988e-02
2.145051010944166059e+00 9.956200239964650223e+01 8.046557142432351384e+01 8.046557142432351611e+03 1.214112536726288605e+00 2.428225073452577182e-02
2.163867247882272693e+00 1.070259660539616107e+02 7.947834809745047835e+01 7.947834809745048005e+03 1.245037594351482424e+00 2.490075188702964987e-02
2.182683484820379771e+00 1.081201980101824205e+02 7.850508741901045084e+01 7.850508741901045141e+03 1.276036437982058791e+00 2.552072875964117582e-02
2.201499721758486405e+00 9.750157609135965231e+01 7.754558869949696032e+01 7.754558869949695691e+03 1.307069448944965462e+00 2.614138897889931035e-02
2.220315958696593039e+00 9.458519345190534011e+01 7.659965408964170308e+01 7.659965408964170820e+03 1.338095517468941731e+00 2.676191034937883476e-02
2.239132195634699674e+00 9.178866303597776266e+01 7.566708854361955616e+01 7.566708854361954764e+03 1.369072100297843209e+00 2.738144200595686584e-02
2.257948432572806308e+00 1.349732146876960996e+02 7.474769911987777959e+01 7.474769911987777959e+03 1.399955305643633796e+00 2.799910611287267578e-02
2.276764669510913386e+00 2.229407588288408419e+02 7.384115683922405537e+01 7.384115683922404969e+03 1.430704232058569225e+00 2.861408464117138478e-02
2.295580906449020020e+00 1.766118944918102898e+02 7.294683623672983686e+01 7.294683623672984140e+03 1.461286893569174072e+00 2.922573787138348089e-02
2.314397143387126654e+00 1.570163981460317757e+02 7.206409493110854214e+01 7.206409493110853873e+03 1.491672698254536522e+00 2.983345396509073238e-02
2.333213380325233288e+00 1.511255265245142425e+02 7.119231575540221968e+01 7.119231575540222366e+03 1.521831278510531460e+00 3.043662557021063059e-02
2.352029617263339922e+00 1.577192059378065494e+02 7.033090600085476751e+01 7.033090600085476581e+03 1.551732557939024426e+00 3.103465115878048866e-02
2.370845854201447001e+00 1.411434582467743155e+02 6.947929670917370970e+01 6.947929670917371368e+03 1.581346817031242580e+00 3.162693634062484910e-02
2.389662091139553635e+00 1.307811038737256126e+02 6.863694201027342956e+01 6.863694201027343297e+03 1.610644757425631735e+00 3.221289514851263802e-02
2.408478328077660269e+00 2.630345212468854470e+02 6.780331850272229133e+01 6.780331850272229531e+03 1.639597564529681861e+00 3.279195129059363917e-02
2.427294565015766903e+00 1.582737277006966963e+02 6.697792467423252560e+01 6.697792467423251765e+03 1.668176968305173702e+00 3.336353936610347154e-02
2.446110801953873537e+00 1.864165666118846616e+02 6.616028035963798004e+01 6.616028035963797265e+03 1.696355302027143797e+00 3.392710604054288009e-02
2.464927038891980615e+00 1.587299322924626495e+02 6.534992623390910182e+01 6.534992623390910012e+03 1.724105558838373575e+00 3.448211117676747151e-02
2.483743275830087249e+00 1.415653638478250400e+02 6.454642333784643426e+01 6.454642333784642688e+03 1.751401445933384649e+00 3.502802891866769325e-02
2.502559512768193883e+00 1.270360146068468765e+02 6.374935263417848574e+01 6.374935263417848546e+03 1.778217436218653802e+00 3.556434872437307798e-02
2.521375749706300518e+00 1.555500370175969920e+02 6.295831459187778023e+01 6.295831459187777909e+03 1.804528817308946653e+00 3.609057634617893195e-02
2.540191986644407152e+00 1.247708219368939808e+02 6.217292879657399141e+01 6.217292879657398771e+03 1.830311737733258504e+00 3.660623475466517202e-02
2.559008223582514230e+00 1.197768022725197739e+02 6.139283358502380139e+01 6.139283358502379997e+03 1.855543250237742470e+00 3.711086500475484912e-02
2.577824460520620864e+00 1.569920092998119117e+02 6.061768570165608594e+01 6.061768570165608253e+03 1.880201352087079503e+00 3.760402704174158756e-02
2.596640697458727498e+00 1.244967306609012638e+02 5.984715997527577258e+01 5.984715997527577201e+03 1.904265022280010156e+00 3.808530044560020505e-02
2.615456934396834132e+00 1.493710232493601495e+02 5.908094901406875010e+01 5.908094901406874669e+03 1.927714255608995897e+00 3.855428511217991877e-02
2.634273171334940766e+00 1.189751186811971735e+02 5.831876291710451454e+01 5.831876291710451369e+03 1.950530093508254792e+00 3.901060187016509861e-02
2.653089408273047844e+00 1.234991429810920351e+02 5.756032900058622914e+01 5.756032900058622545e+03 1.972694651648557951e+00 3.945389303297115735e-02
2.671905645211154479e+00 1.147671159125043090e+02 5.680539153715065481e+01 5.680539153715065368e+03 1.994191144251133530e+00 3.988382288502267253e-02
2.690721882149261113e+00 1.361719175297698143e+02 5.605371150656450396e+01 5.605371150656450482e+03 2.015003905106759419e+00 4.030007810213519226e-02
2.709538119087367747e+00 2.679430521775217926e+02 5.530506635621743072e+01 5.530506635621743044e+03 2.035118405299521704e+00 4.070236810599043437e-02
2.728354356025474381e+00 1.701758312058011029e+02 5.455924976985224362e+01 5.455924976985224021e+03 2.054521267647743787e+00 4.109042535295487353e-02
2.747170592963581459e+00 1.663375895620234246e+02 5.381607144302203949e+01 5.381607144302203778e+03 2.073200277887194076e+00 4.146400555774388402e-02
2.765986829901688093e+00 1.491962401349229594e+02 5.307535686380845164e+01 5.307535686380844709e+03 2.091144392633780491e+00 4.182288785267561371e-02
2.784803066839794727e+00 1.290271715489069777e+02 5.233694709737573447e+01 5.233694709737573248e+03 2.108343744174526080e+00 4.216687488349052382e-02
2.803619303777901361e+00 1.344043234158594657e+02 5.160069857298913831e+01 5.160069857298914030e+03 2.124789642146593938e+00 4.249579284293188153e-02
2.822435540716007996e+00 1.189166395828153497e+02 5.086648287216107178e+01 5.086648287216106837e+03 2.140474572174536405e+00 4.280949144349072838e-02
2.841251777654114630e+00 1.155303595426630920e+02 5.013418651664097325e+01 5.013418651664097524e+03 2.155392191545675740e+00 4.310784383091351840e-02
2.860068014592221708e+00 1.138269518340615036e+02 4.940371075501030873e+01 4.940371075501030646e+03 2.169537322012560221e+00 4.339074644025120442e-02
2.878884251530328342e+00 1.361295963154425976e+02 4.867497134669055470e+01 4.867497134669055413e+03 2.182905939819828500e+00 4.365811879639656945e-02
2.897700488468434976e+00 1.123859223611531490e+02 4.794789834221970892e+01 4.794789834221970523e+03 2.195495163060461774e+00 4.390990326120923493e-02
2.916516725406541610e+00 3.434569339653448878e+02 4.722243585871034810e+01 4.722243585871035066e+03 2.207303236473299624e+00 4.414606472946599330e-02
2.935332962344648244e+00 3.791321046361103413e+02 4.649854184944239677e+01 4.649854184944239933e+03 2.218329513799910835e+00 4.436659027599821475e-02
2.954149199282755323e+00 2.549220015288327659e+02 4.577618786661042094e+01 4.577618786661041668e+03 2.228574437824344834e+00 4.457148875648690028e-02
2.972965436220861957e+00 2.045289908157389505e+02 4.505535881628997430e+01 4.505535881628997231e+03 2.238039518223995827e+00 4.476079036447992016e-02
2.991781673158968591e+00 1.886849261941033546e+02 4.433605270475323579e+01 4.433605270475323778e+03 2.246727307363806769e+00 4.493454614727613455e-02
3.010597910097075225e+00 1.703217916439962778e+02 4.361828037531761737e+01 4.361828037531761765e+03 2.254641374169280343e+00 4.509282748338560437e-02
3.029414147035181859e+00 1.672477710959232411e+02 4.290206523497628410e+01 4.290206523497628041e+03 2.261786276216328773e+00 4.523572552432657962e-02
3.048230383973288937e+00 1.602318419929040374e+02 4.218744297012295164e+01 4.218744297012294737e+03 2.268167530177841229e+00 4.536335060355682625e-02
3.067046620911395571e+00 1.515159480159359475e+02 4.147446125074659307e+01 4.147446125074658994e+03 2.273791580768031562e+00 4.547583161536063179e-02
3.085862857849502205e+00 1.438065243988261273e+02 4.076317942254156890e+01 4.076317942254156605e+03 2.278665768326176178e+00 4.557331536652352300e-02
3.104679094787608840e+00 1.491726587747481290e+02 4.005366818644974103e+01 4.005366818644974046e+03 2.282798295181241333e+00 4.565596590362482748e-02
3.123495331725715474e+00 1.260213224238577254e+02 3.934600926521999043e+01 3.934600926521998645e+03 2.286198190938236063e+00 4.572396381876472210e-02
3.142311568663822552e+00 1.459348952730341864e+02 3.864029505664552033e+01 3.864029505664552289e+03 2.288875276825843574e+00 4.577750553651687565e-02
3.161127805601929186e+00 1.300114814992410857e+02 3.793662827321792719e+01 3.793662827321792520e+03 2.290840129243127077e+00 4.581680258486254403e-02
3.179944042540035820e+00 1.450848317179106743e+02 3.723512156800707373e+01 3.723512156800707544e+03 2.292104042640791040e+00 4.584208085281581829e-02
3.198760279478142454e+00 1.626500904090082145e+02 3.653589714666388488e+01 3.653589714666388318e+03 2.292678991869711691e+00 4.585357983739423576e-02
3.217576516416249088e+00 1.629461382643318359e+02 3.583908636551394267e+01 3.583908636551394011e+03 2.292577594126286478e+00 4.585155188252573039e-02
3.236392753354356167e+00 1.325589764037253531e+02 3.514482931579735236e+01 3.514482931579735123e+03 2.291813070620511539e+00 4.583626141241023411e-02
3.255208990292462801e+00 1.203902316311578886e+02 3.445327439418920079e+01 3.445327439418920221e+03 2.290399208088780281e+00 4.580798416177560978e-02
3.274025227230569435e+00 1.221344824139610523e+02 3.376457785981872206e+01 3.376457785981871893e+03 2.288350320269093796e+00 4.576700640538187981e-02
3.292841464168676069e+00 1.153966280784182459e+02 3.307890337808584036e+01 3.307890337808584263e+03 2.285681209451793094e+00 4.571362418903586466e-02
3.311657701106782703e+00 1.064839270932503439e+02 3.239642155166085757e+01 3.239642155166086013e+03 2.282407128214114067e+00 4.564814256428228328e-02
